SMILES,X1s,Y1s,Category,Ring1_Substituents,Ring2_Substituents,ortho,meta,para,ortho_r2,meta_r2,para_r2
CSCC[C@H](NC(=O)c1ccc(CN[C@H](/C=C/CC(C)C)CC2CCCCC2)cc1-c1ccccc1C)C(=O)[O-],0.23569837,0.893445718,poly-substituted,2,1,1,1,0,1,0,0
CCCCOc1ccc(-c2ccccc2C(=O)O)cc1CNC(=O)c1ccc(C(F)(F)F)cc1F,0.318960939,0.796775032,poly-substituted,2,1,0,1,1,1,0,0
CCCc1nc(CC)c(C(=O)CCN(C(=O)c2ccncc2)c2cccnc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,0.625680749,0.78925064,poly-substituted,2,1,0,1,1,1,0,0
Nc1noc2ccc(-n3nc(C(F)(F)F)cc3C(=O)Nc3ccc(-c4ccccc4CN4CCNCC4)cc3F)cc12,0.356200223,0.901605717,poly-substituted,2,1,0,1,1,1,0,0
CCC(CC)(c1ccccc1)c1ccc(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccccc2F)c1,0.348150191,0.84180533,poly-substituted,2,1,1,1,0,1,0,0
C=CCn1c(-c2cc(-c3ccc(F)cc3F)ccc2O)n[nH]c1=S,0.215760378,0.923800128,poly-substituted,2,2,0,1,1,1,0,1
Cc1cc(-c2ccccc2C(F)(F)F)ccc1C(=O)N[C@@H](CCCN=C(N)N)B1O[C@@H]2CC3CC(C3(C)C)[C@]2(C)O1,0.336789982,0.77025173,poly-substituted,2,1,0,1,1,1,0,0
Cc1cc(C(N)=O)nn1-c1cccc(-c2cc(F)ccc2C(F)(F)F)c1,0.293026654,0.956890056,poly-substituted,1,2,0,1,0,1,1,0
CCCc1nc(CC)c(C(=O)OCCC[S+]([O-])c2ccccc2)n1Cc1ccc(-c2ccccc2S(=O)(=O)NC(=O)OCCC(C)C)cc1F,0.793447353,0.916448174,poly-substituted,2,1,0,1,1,1,0,0
COc1cc(/C=C(\C#N)C(N)=O)cc(-c2cc(/C=C(\C#N)C(N)=O)cc(OC)c2O)c1O,0.285175365,0.860154918,poly-substituted,3,3,1,2,0,1,2,0
